step,t,max_u,plate_disp
35,2.18750000e-01,1.6666625969895607e-01,1.0733176451976911e-02
36,2.25000000e-01,1.6666625969896293e-01,1.1125923271289192e-02
37,2.31250000e-01,1.6666625969891469e-01,1.1518366877518778e-02
38,2.37500000e-01,1.6666625969891832e-01,1.1910398148034807e-02
39,2.43750000e-01,1.6666625969887913e-01,1.2301895483465648e-02
40,2.50000000e-01,1.6666625969887988e-01,1.2693183007734652e-02
41,2.56250000e-01,1.6666625969884871e-01,1.3084155685322773e-02
42,2.62500000e-01,1.6666625969884730e-01,1.3474705124209937e-02
43,2.68750000e-01,1.6666625969882209e-01,1.3865101654602809e-02
44,2.75000000e-01,1.6666625969881904e-01,1.4255264247104263e-02
45,2.81250000e-01,1.6666625969879889e-01,1.4645067011527894e-02
46,2.87500000e-01,1.6666625969879575e-01,1.5034621577908068e-02
47,2.93750000e-01,1.6666625969877888e-01,1.5424135039712305e-02
48,3.00000000e-01,1.6666625969877472e-01,1.5813350912578881e-02
49,3.06250000e-01,1.6666625969876170e-01,1.6202285682263798e-02
50,3.12500000e-01,1.6666625969875620e-01,1.6590956889636604e-02
51,3.18750000e-01,1.6666625969874674e-01,1.6979540161012257e-02
52,3.25000000e-01,1.6666625969874102e-01,1.7368051340333243e-02
53,3.31250000e-01,1.6666625969873361e-01,1.7756328221021682e-02
54,3.37500000e-01,1.6666625969872775e-01,1.8144410069515393e-02
55,3.43750000e-01,1.6666625969872192e-01,1.8532277392819600e-02
56,3.50000000e-01,1.6666625969871607e-01,1.8919957781003569e-02
57,3.56250000e-01,1.6666625969871193e-01,1.9307642198709653e-02
58,3.62500000e-01,1.6666625969870585e-01,1.9695255601995313e-02
59,3.68750000e-01,1.6666625969870377e-01,2.0082700000761851e-02
60,3.75000000e-01,1.6666625969869747e-01,2.0469986501848506e-02
61,3.81250000e-01,1.6666625969869608e-01,2.0857112255415526e-02
62,3.87500000e-01,1.6666625969868989e-01,2.1244103736638209e-02
63,3.93750000e-01,1.6666625969868951e-01,2.1631107078430072e-02
64,4.00000000e-01,1.6666625969868359e-01,2.2018082762676333e-02
65,4.06250000e-01,1.6666625969868359e-01,2.2404925616770315e-02
66,4.12500000e-01,1.6666625969867813e-01,2.2791648042393677e-02
67,4.18750000e-01,1.6666625969867860e-01,2.3178243254525156e-02
68,4.25000000e-01,1.6666625969867310e-01,2.3564720370060022e-02
69,4.31250000e-01,1.6666625969867441e-01,2.3951076045943754e-02
70,4.37500000e-01,1.6666625969866847e-01,2.4337342884342035e-02
71,4.43750000e-01,1.6666625969867072e-01,2.4723717285448327e-02
72,4.50000000e-01,1.6666625969866461e-01,2.5109989834402296e-02
