t,u_L2,p_L2,solid_force_L2,volume,inlet_scale,tip_dx,tip_dy,cyl_dx,cyl_dy,max_u,umax_x,umax_y,elapsed_s
2.10000000e-01,6.1148612180e+07,8.8206993013e+13,2.2524944115e+05,1.4815729440e+02,7.5131011284e+01,3.0762852885e-02,-1.5360181233e-02,4.9993561290e-03,-2.3855730678e-06,1.4023590880e+02,18.5000,12.5000,928.758
2.20000000e-01,7.1627733724e+07,9.1081495658e+13,2.2525295346e+05,1.4815758200e+02,8.1261868541e+01,3.1819656546e-02,-1.7932514866e-02,5.2189428723e-03,-2.2716117635e-06,1.5259203240e+02,18.5000,27.5000,982.988
2.30000000e-01,8.3095055782e+07,9.3274684250e+13,2.2525541507e+05,1.4815767021e+02,8.7466676644e+01,3.2663122090e-02,-2.0767514702e-02,5.4282744103e-03,-2.1273578350e-06,1.6543150613e+02,18.5000,27.5000,1016.516
2.40000000e-01,9.5536479091e+07,9.4770925589e+13,2.2525742905e+05,1.4815780351e+02,9.3720948047e+01,3.3589607547e-02,-2.3848610555e-02,5.6434888978e-03,-1.5209883923e-06,1.7878264447e+02,18.0000,27.0000,1053.370
2.50000000e-01,1.0892580223e+08,9.5545142259e+13,2.2525874638e+05,1.4815819660e+02,1.0000000000e+02,3.4281657868e-02,-2.7063869300e-02,5.8581171794e-03,-2.5168601601e-06,1.9309559380e+02,18.0000,27.0000,1093.458
2.60000000e-01,1.2322356106e+08,9.5550464550e+13,2.2525888490e+05,1.4815791294e+02,1.0627905195e+02,3.4518867937e-02,-3.0524373537e-02,6.0467648762e-03,-3.5069591846e-06,2.0821116675e+02,18.0000,27.0000,1129.281
2.70000000e-01,1.3837693680e+08,9.4841277848e+13,2.2525806966e+05,1.4815710528e+02,1.1253332336e+02,3.5282495361e-02,-3.4304082788e-02,6.2477445002e-03,3.6714930164e-06,2.2428231160e+02,18.0000,27.0000,1162.620
2.80000000e-01,1.5432420866e+08,9.3524528939e+13,2.2525595720e+05,1.4815880039e+02,1.1873813146e+02,3.5299160788e-02,-3.7875382973e-02,6.4957734657e-03,4.8110263430e-06,2.4112904110e+02,18.0000,27.0000,1201.987
2.90000000e-01,1.7100023844e+08,9.1560078450e+13,2.2525516987e+05,1.4816038936e+02,1.2486898872e+02,3.3536446229e-02,-4.1567796804e-02,6.7109322042e-03,-1.5013892526e-05,2.5879961110e+02,18.0000,27.0000,1237.773
3.00000000e-01,1.8831886249e+08,8.9228771623e+13,2.2525961141e+05,1.4815579247e+02,1.3090169944e+02,3.6371960442e-02,-4.5647483470e-02,6.9968487687e-03,1.2684917773e-06,2.7696445150e+02,18.5000,27.0000,1276.080
