step,t,max_u
1,4.68750000e-03,3.6236742459296539e-01
2,9.37500000e-03,3.6097966264606657e-01
3,1.40625000e-02,3.5375667734908622e-01
4,1.87500000e-02,3.5762514216375396e-01
5,2.34375000e-02,3.4355678633615344e-01
6,2.81250000e-02,3.5590136057014549e-01
7,3.28125000e-02,3.4042492311497458e-01
8,3.75000000e-02,3.5380645626727819e-01
9,4.21875000e-02,3.3907865983777469e-01
10,4.68750000e-02,3.5183701001089324e-01
11,5.15625000e-02,3.3951896432973300e-01
12,5.62500000e-02,3.5019218803690716e-01
13,6.09375000e-02,3.4081012118560067e-01
14,6.56250000e-02,3.4871684692284288e-01
15,7.03125000e-02,3.4143409533368524e-01
16,7.50000000e-02,3.4750715037431879e-01
17,7.96875000e-02,3.4591620368371906e-01
18,8.43750000e-02,3.5105081201245703e-01
19,8.90625000e-02,3.5877784837390636e-01
20,9.37500000e-02,3.6637852444317803e-01
21,9.84375000e-02,3.7270457088875369e-01
22,1.03125000e-01,3.7781414898530119e-01
23,1.07812500e-01,3.8162810674359238e-01
24,1.12500000e-01,3.8434001824082153e-01
25,1.17187500e-01,3.8594704604862201e-01
26,1.21875000e-01,3.8666606820699745e-01
27,1.26562500e-01,3.8650014445880887e-01
28,1.31250000e-01,3.8564947300941760e-01
29,1.35937500e-01,3.8414101654419525e-01
30,1.40625000e-01,3.8217504485873055e-01
31,1.45312500e-01,3.7975865918508311e-01
32,1.50000000e-01,3.7707213830834968e-01
33,1.54687500e-01,3.7411661168959798e-01
34,1.59375000e-01,3.7104022925716934e-01
35,1.64062500e-01,3.6786219976673795e-01
36,1.68750000e-01,3.6472204008921177e-01
37,1.73437500e-01,3.6160561959282639e-01
38,1.78125000e-01,3.5870457485995172e-01
39,1.82812500e-01,3.5621010932192892e-01
40,1.87500000e-01,3.5420875481635028e-01
41,1.92187500e-01,3.5244166639805175e-01
42,1.96875000e-01,3.5093538610953479e-01
43,2.01562500e-01,3.4958689567388673e-01
44,2.06250000e-01,3.4841153547528764e-01
45,2.10937500e-01,3.4736313044536543e-01
46,2.15625000e-01,3.4649422353457787e-01
47,2.20312500e-01,3.4572552243828397e-01
48,2.25000000e-01,3.4513053404120675e-01
49,2.29687500e-01,3.4456875476618215e-01
50,2.34375000e-01,3.4420864336388063e-01
51,2.39062500e-01,3.4397464264543220e-01
52,2.43750000e-01,3.4390001186513808e-01
53,2.48437500e-01,3.4384014781932931e-01
54,2.53125000e-01,3.4387272259354573e-01
55,2.57812500e-01,3.4391041326185784e-01
56,2.62500000e-01,3.4402417621565556e-01
57,2.67187500e-01,3.4413286093527329e-01
58,2.71875000e-01,3.4430240058420608e-01
59,2.76562500e-01,3.4445808960892826e-01
60,2.81250000e-01,3.4467367886430744e-01
61,2.85937500e-01,3.4484990500582263e-01
62,2.90625000e-01,3.4509657639376984e-01
63,2.95312500e-01,3.4528314809625998e-01
64,3.00000000e-01,3.4552780655482951e-01
65,3.04687500e-01,3.4570929945088191e-01
66,3.09375000e-01,3.4593931182049670e-01
67,3.14062500e-01,3.4611976841898079e-01
68,3.18750000e-01,3.4631794685893863e-01
69,3.23437500e-01,3.4648797211573723e-01
70,3.28125000e-01,3.4665593296005143e-01
71,3.32812500e-01,3.4679522825814463e-01
72,3.37500000e-01,3.4694977632851037e-01
73,3.42187500e-01,3.4709005014068955e-01
74,3.46875000e-01,3.4722032639167588e-01
75,3.51562500e-01,3.4732113430713224e-01
76,3.56250000e-01,3.4740978002670198e-01
77,3.60937500e-01,3.4747609056783718e-01
78,3.65625000e-01,3.4752493042252158e-01
79,3.70312500e-01,3.4756022850394730e-01
80,3.75000000e-01,3.4757551015398419e-01
81,3.79687500e-01,3.4758466593618509e-01
82,3.84375000e-01,3.4757379996295601e-01
83,3.89062500e-01,3.4756060000187033e-01
84,3.93750000e-01,3.4753139984913362e-01
85,3.98437500e-01,3.4750129503005861e-01
86,4.03125000e-01,3.4746029457013883e-01
87,4.07812500e-01,3.4741851124983453e-01
88,4.12500000e-01,3.4737175489897554e-01
89,4.17187500e-01,3.4732334488045935e-01
90,4.21875000e-01,3.4727524119662800e-01
91,4.26562500e-01,3.4722505449709851e-01
92,4.31250000e-01,3.4717875351855249e-01
93,4.35937500e-01,3.4713293787210830e-01
94,4.40625000e-01,3.4708871917100342e-01
95,4.45312500e-01,3.4704882661733688e-01
96,4.50000000e-01,3.4700948540191795e-01
97,4.54687500e-01,3.4697599779346311e-01
98,4.59375000e-01,3.4694206256509108e-01
99,4.64062500e-01,3.4691509584309466e-01
100,4.68750000e-01,3.4688889959681618e-01
101,4.73437500e-01,3.4686822842791437e-01
102,4.78125000e-01,3.4684916738899430e-01
103,4.82812500e-01,3.4683568759536409e-01
104,4.87500000e-01,3.4682244686387853e-01
105,4.92187500e-01,3.4681416842401469e-01
106,4.96875000e-01,3.4680793466583942e-01
107,5.01562500e-01,3.4680469207936715e-01
108,5.06250000e-01,3.4680320312073232e-01
109,5.10937500e-01,3.4680375620469345e-01
110,5.15625000e-01,3.4680506005425332e-01
111,5.20312500e-01,3.4680939478601691e-01
112,5.25000000e-01,3.4681369539695939e-01
113,5.29687500e-01,3.4682025998094707e-01
114,5.34375000e-01,3.4682601167998472e-01
115,5.39062500e-01,3.4683350436272437e-01
116,5.43750000e-01,3.4683990738906023e-01
117,5.48437500e-01,3.4684804041192796e-01
118,5.53125000e-01,3.4685423309941638e-01
119,5.57812500e-01,3.4686275562766133e-01
120,5.62500000e-01,3.4686917330176775e-01
121,5.67187500e-01,3.4687751501282160e-01
122,5.71875000e-01,3.4688301560017815e-01
123,5.76562500e-01,3.4689033241073958e-01
124,5.81250000e-01,3.4689469146687146e-01
125,5.85937500e-01,3.4690119573918399e-01
126,5.90625000e-01,3.4690429904227543e-01
127,5.95312500e-01,3.4690937854018139e-01
128,6.00000000e-01,3.4691153211055409e-01
129,6.04687500e-01,3.4691603526742770e-01
130,6.09375000e-01,3.4691690057348407e-01
131,6.14062500e-01,3.4692187783866307e-01
132,6.18750000e-01,3.4692168581343363e-01
133,6.23437500e-01,3.4692376566077038e-01
134,6.28125000e-01,3.4692294072485313e-01
135,6.32812500e-01,3.4692380235002451e-01
136,6.37500000e-01,3.4692204120646231e-01
137,6.42187500e-01,3.4692204867036608e-01
138,6.46875000e-01,3.4692037408159154e-01
139,6.51562500e-01,3.4692057288727607e-01
140,6.56250000e-01,3.4691837253730590e-01
141,6.60937500e-01,3.4691755675998792e-01
142,6.65625000e-01,3.4691544666430485e-01
143,6.70312500e-01,3.4691466878291471e-01
144,6.75000000e-01,3.4691293071850543e-01
145,6.79687500e-01,3.4691226226794558e-01
146,6.84375000e-01,3.4691056143326510e-01
147,6.89062500e-01,3.4690973956212040e-01
148,6.93750000e-01,3.4690768847441084e-01
149,6.98437500e-01,3.4690751669744851e-01
150,7.03125000e-01,3.4690570930122494e-01
151,7.07812500e-01,3.4690520806974401e-01
152,7.12500000e-01,3.4690424640527778e-01
153,7.17187500e-01,3.4690329119396390e-01
154,7.21875000e-01,3.4690297845531864e-01
155,7.26562500e-01,3.4690210655695836e-01
156,7.31250000e-01,3.4690163035446853e-01
157,7.35937500e-01,3.4690155093054664e-01
158,7.40625000e-01,3.4690041016109813e-01
159,7.45312500e-01,3.4690143333929807e-01
160,7.50000000e-01,3.4689997454646804e-01
161,7.54687500e-01,3.4690145493843466e-01
162,7.59375000e-01,3.4690013051270296e-01
163,7.64062500e-01,3.4690107857988350e-01
164,7.68750000e-01,3.4689931368208760e-01
165,7.73437500e-01,3.4690059166538056e-01
166,7.78125000e-01,3.4689890647274790e-01
167,7.82812500e-01,3.4690046258442769e-01
168,7.87500000e-01,3.4689882730437127e-01
169,7.92187500e-01,3.4689978130339388e-01
170,7.96875000e-01,3.4689914121882287e-01
171,8.01562500e-01,3.4690026674868285e-01
172,8.06250000e-01,3.4689972540398328e-01
173,8.10937500e-01,3.4690066232283961e-01
174,8.15625000e-01,3.4690057548201747e-01
175,8.20312500e-01,3.4690166368225100e-01
176,8.25000000e-01,3.4690090111272037e-01
177,8.29687500e-01,3.4690208459235417e-01
178,8.34375000e-01,3.4690156868040939e-01
179,8.39062500e-01,3.4690250483448309e-01
180,8.43750000e-01,3.4690177735683009e-01
181,8.48437500e-01,3.4690324745644435e-01
182,8.53125000e-01,3.4690224492075677e-01
183,8.57812500e-01,3.4690292346725665e-01
184,8.62500000e-01,3.4690272601649919e-01
185,8.67187500e-01,3.4690351277170772e-01
186,8.71875000e-01,3.4690323890045005e-01
187,8.76562500e-01,3.4690350220640476e-01
188,8.81250000e-01,3.4690374272069302e-01
189,8.85937500e-01,3.4690352289537901e-01
190,8.90625000e-01,3.4690397959550107e-01
191,8.95312500e-01,3.4690337530437881e-01
192,9.00000000e-01,3.4690371437482986e-01
193,9.04687500e-01,3.4690364068309792e-01
194,9.09375000e-01,3.4690313484356944e-01
195,9.14062500e-01,3.4690346630741009e-01
196,9.18750000e-01,3.4690335108847348e-01
197,9.23437500e-01,3.4690343783772859e-01
198,9.28125000e-01,3.4690311824637438e-01
199,9.32812500e-01,3.4690312568276765e-01
200,9.37500000e-01,3.4690309650126527e-01
201,9.42187500e-01,3.4690328922189234e-01
202,9.46875000e-01,3.4690304886083267e-01
203,9.51562500e-01,3.4690355075351215e-01
204,9.56250000e-01,3.4690342902869653e-01
205,9.60937500e-01,3.4690300863171752e-01
206,9.65625000e-01,3.4690330517502022e-01
207,9.70312500e-01,3.4690279363299226e-01
208,9.75000000e-01,3.4690327388001452e-01
209,9.79687500e-01,3.4690226332929641e-01
210,9.84375000e-01,3.4690379973175112e-01
211,9.89062500e-01,3.4690150222245170e-01
212,9.93750000e-01,3.4690340879339987e-01
213,9.98437500e-01,3.4690176686875490e-01
214,1.00312500e+00,3.4690316113685682e-01
215,1.00781250e+00,3.4690228608682527e-01
216,1.01250000e+00,3.4690289650295664e-01
217,1.01718750e+00,3.4690214300794137e-01
218,1.02187500e+00,3.4690214831423355e-01
219,1.02656250e+00,3.4690215032773219e-01
220,1.03125000e+00,3.4690249385918764e-01
221,1.03593750e+00,3.4690208151140117e-01
222,1.04062500e+00,3.4690286772415946e-01
223,1.04531250e+00,3.4690177327121924e-01
224,1.05000000e+00,3.4690228491816510e-01
225,1.05468750e+00,3.4690192171201434e-01
226,1.05937500e+00,3.4690241499297864e-01
227,1.06406250e+00,3.4690189317407188e-01
228,1.06875000e+00,3.4690266318397833e-01
229,1.07343750e+00,3.4690194785642980e-01
230,1.07812500e+00,3.4690231047318465e-01
231,1.08281250e+00,3.4690199563426694e-01
232,1.08750000e+00,3.4690249589694117e-01
233,1.09218750e+00,3.4690177764789715e-01
234,1.09687500e+00,3.4690267902265604e-01
235,1.10156250e+00,3.4690170757161776e-01
236,1.10625000e+00,3.4690273199091887e-01
237,1.11093750e+00,3.4690151344755776e-01
238,1.11562500e+00,3.4690320893090526e-01
239,1.12031250e+00,3.4690061244251141e-01
240,1.12500000e+00,3.4690325866148863e-01
241,1.12968750e+00,3.4690114017470097e-01
242,1.13437500e+00,3.4690343807241858e-01
243,1.13906250e+00,3.4690162554921528e-01
244,1.14375000e+00,3.4690275279468513e-01
245,1.14843750e+00,3.4690192513097240e-01
246,1.15312500e+00,3.4690298183585899e-01
247,1.15781250e+00,3.4690289839786981e-01
248,1.16250000e+00,3.4690283106766523e-01
249,1.16718750e+00,3.4690224375052031e-01
250,1.17187500e+00,3.4690212832744466e-01
251,1.17656250e+00,3.4690179683973904e-01
252,1.18125000e+00,3.4690223081912414e-01
253,1.18593750e+00,3.4690205647400568e-01
254,1.19062500e+00,3.4690247353915732e-01
255,1.19531250e+00,3.4690233193279607e-01
256,1.20000000e+00,3.4690212257608333e-01
257,1.20468750e+00,3.4690281085530861e-01
258,1.20937500e+00,3.4690225798269880e-01
259,1.21406250e+00,3.4690267725893409e-01
260,1.21875000e+00,3.4690195482098557e-01
261,1.22343750e+00,3.4690241763611501e-01
262,1.22812500e+00,3.4690191153291733e-01
263,1.23281250e+00,3.4690165282470459e-01
264,1.23750000e+00,3.4690285615180078e-01
265,1.24218750e+00,3.4690225111822137e-01
266,1.24687500e+00,3.4690269347101610e-01
267,1.25156250e+00,3.4690264300326396e-01
268,1.25625000e+00,3.4690273259249194e-01
269,1.26093750e+00,3.4690288377570488e-01
270,1.26562500e+00,3.4690161540850117e-01
271,1.27031250e+00,3.4690237236429833e-01
272,1.27500000e+00,3.4690139601720049e-01
273,1.27968750e+00,3.4690286924881431e-01
274,1.28437500e+00,3.4690119514328316e-01
275,1.28906250e+00,3.4690285373127522e-01
276,1.29375000e+00,3.4690160590613123e-01
277,1.29843750e+00,3.4690184255063561e-01
278,1.30312500e+00,3.4690058762677728e-01
279,1.30781250e+00,3.4690348858826414e-01
280,1.31250000e+00,3.4690121633391885e-01
281,1.31718750e+00,3.4690359888194738e-01
282,1.32187500e+00,3.4690126348756528e-01
283,1.32656250e+00,3.4690325968013846e-01
284,1.33125000e+00,3.4690172130915586e-01
285,1.33593750e+00,3.4690351927661933e-01
286,1.34062500e+00,3.4690212972772105e-01
287,1.34531250e+00,3.4690289148887948e-01
288,1.35000000e+00,3.4690208961937369e-01
289,1.35468750e+00,3.4690294472935868e-01
290,1.35937500e+00,3.4690209651543008e-01
291,1.36406250e+00,3.4690227576249621e-01
292,1.36875000e+00,3.4690117920176794e-01
293,1.37343750e+00,3.4690290695119147e-01
294,1.37812500e+00,3.4690080807178819e-01
295,1.38281250e+00,3.4690284997210558e-01
296,1.38750000e+00,3.4690098024035526e-01
297,1.39218750e+00,3.4690356259328958e-01
298,1.39687500e+00,3.4690004999511798e-01
299,1.40156250e+00,3.4690376322021027e-01
300,1.40625000e+00,3.4689989326713733e-01
301,1.41093750e+00,3.4690454245957408e-01
302,1.41562500e+00,3.4689994141372410e-01
303,1.42031250e+00,3.4690529955462640e-01
304,1.42500000e+00,3.4690020623126255e-01
305,1.42968750e+00,3.4690485988637620e-01
306,1.43437500e+00,3.4690095025996631e-01
307,1.43906250e+00,3.4690524050391258e-01
308,1.44375000e+00,3.4690062252683695e-01
309,1.44843750e+00,3.4690410682097012e-01
310,1.45312500e+00,3.4690115222837298e-01
311,1.45781250e+00,3.4690391680417337e-01
312,1.46250000e+00,3.4690158218853773e-01
313,1.46718750e+00,3.4690422204517574e-01
314,1.47187500e+00,3.4690151633633654e-01
315,1.47656250e+00,3.4690294817183093e-01
316,1.48125000e+00,3.4690174370080817e-01
317,1.48593750e+00,3.4690244195749886e-01
318,1.49062500e+00,3.4690231046410580e-01
319,1.49531250e+00,3.4690228379156968e-01
320,1.50000000e+00,3.4690207752713692e-01
321,1.50468750e+00,3.4690217277405272e-01
322,1.50937500e+00,3.4690287714099516e-01
323,1.51406250e+00,3.4690215264644414e-01
324,1.51875000e+00,3.4690252152642426e-01
325,1.52343750e+00,3.4690226263040080e-01
326,1.52812500e+00,3.4690181664686243e-01
327,1.53281250e+00,3.4690252424701390e-01
328,1.53750000e+00,3.4690203382579266e-01
329,1.54218750e+00,3.4690224539992248e-01
330,1.54687500e+00,3.4690227476698560e-01
331,1.55156250e+00,3.4690252840550062e-01
332,1.55625000e+00,3.4690226046118511e-01
333,1.56093750e+00,3.4690201196230763e-01
334,1.56562500e+00,3.4690265117265617e-01
335,1.57031250e+00,3.4690258150038628e-01
336,1.57500000e+00,3.4690262186552978e-01
337,1.57968750e+00,3.4690287726370506e-01
338,1.58437500e+00,3.4690209469508854e-01
339,1.58906250e+00,3.4690312752891206e-01
340,1.59375000e+00,3.4690254013384575e-01
341,1.59843750e+00,3.4690339088396632e-01
342,1.60312500e+00,3.4690283886639750e-01
343,1.60781250e+00,3.4690191252057095e-01
344,1.61250000e+00,3.4690349932645037e-01
345,1.61718750e+00,3.4690165138302981e-01
346,1.62187500e+00,3.4690332877180785e-01
347,1.62656250e+00,3.4690203026637650e-01
348,1.63125000e+00,3.4690290837241389e-01
349,1.63593750e+00,3.4690125813944300e-01
350,1.64062500e+00,3.4690315421351103e-01
351,1.64531250e+00,3.4690138110366819e-01
352,1.65000000e+00,3.4690398486635521e-01
353,1.65468750e+00,3.4690109640928302e-01
354,1.65937500e+00,3.4690415052462958e-01
355,1.66406250e+00,3.4690155963823488e-01
356,1.66875000e+00,3.4690415630835419e-01
357,1.67343750e+00,3.4690122659577860e-01
358,1.67812500e+00,3.4690402729067088e-01
359,1.68281250e+00,3.4690037175193306e-01
360,1.68750000e+00,3.4690386289768516e-01
361,1.69218750e+00,3.4690010941168503e-01
362,1.69687500e+00,3.4690407186042904e-01
363,1.70156250e+00,3.4690093999109539e-01
364,1.70625000e+00,3.4690338928830583e-01
365,1.71093750e+00,3.4689980406929549e-01
366,1.71562500e+00,3.4690443433398233e-01
367,1.72031250e+00,3.4689991073217141e-01
368,1.72500000e+00,3.4690349213480604e-01
369,1.72968750e+00,3.4689948837372220e-01
370,1.73437500e+00,3.4690357824448786e-01
371,1.73906250e+00,3.4689950052737678e-01
372,1.74375000e+00,3.4690407345536195e-01
373,1.74843750e+00,3.4689879701796450e-01
374,1.75312500e+00,3.4690360556813843e-01
375,1.75781250e+00,3.4689976880779622e-01
376,1.76250000e+00,3.4690222938538351e-01
377,1.76718750e+00,3.4689964935710249e-01
378,1.77187500e+00,3.4690216025842491e-01
379,1.77656250e+00,3.4690082773139236e-01
380,1.78125000e+00,3.4690188337251870e-01
381,1.78593750e+00,3.4690107179871682e-01
382,1.79062500e+00,3.4690212841490098e-01
383,1.79531250e+00,3.4690168496848478e-01
384,1.80000000e+00,3.4690217568937243e-01
385,1.80468750e+00,3.4690172528769397e-01
386,1.80937500e+00,3.4690252505852226e-01
387,1.81406250e+00,3.4690180531510217e-01
388,1.81875000e+00,3.4690300503650112e-01
389,1.82343750e+00,3.4690157126099086e-01
390,1.82812500e+00,3.4690302738986695e-01
391,1.83281250e+00,3.4690088210153958e-01
392,1.83750000e+00,3.4690390280456962e-01
393,1.84218750e+00,3.4689998588305043e-01
394,1.84687500e+00,3.4690458115215045e-01
395,1.85156250e+00,3.4690013605502479e-01
396,1.85625000e+00,3.4690424767772216e-01
397,1.86093750e+00,3.4689912512926829e-01
398,1.86562500e+00,3.4690427764644449e-01
399,1.87031250e+00,3.4689985699597536e-01
400,1.87500000e+00,3.4690444679352284e-01
401,1.87968750e+00,3.4689964971286036e-01
402,1.88437500e+00,3.4690530975290462e-01
403,1.88906250e+00,3.4689922258492001e-01
404,1.89375000e+00,3.4690475007840360e-01
405,1.89843750e+00,3.4689938032340079e-01
406,1.90312500e+00,3.4690474276906924e-01
407,1.90781250e+00,3.4689885873078874e-01
408,1.91250000e+00,3.4690447061754637e-01
409,1.91718750e+00,3.4689921855165096e-01
410,1.92187500e+00,3.4690389634852326e-01
411,1.92656250e+00,3.4689937547825106e-01
412,1.93125000e+00,3.4690380884712024e-01
413,1.93593750e+00,3.4689889430841547e-01
414,1.94062500e+00,3.4690398989062299e-01
415,1.94531250e+00,3.4689968012739553e-01
416,1.95000000e+00,3.4690371109552315e-01
417,1.95468750e+00,3.4689962314862505e-01
418,1.95937500e+00,3.4690394623076509e-01
419,1.96406250e+00,3.4689976554120960e-01
420,1.96875000e+00,3.4690487605082909e-01
421,1.97343750e+00,3.4690016707823479e-01
422,1.97812500e+00,3.4690367003435835e-01
423,1.98281250e+00,3.4690122237941962e-01
424,1.98750000e+00,3.4690319312741968e-01
425,1.99218750e+00,3.4690231077140882e-01
426,1.99687500e+00,3.4690315923233306e-01
427,2.00156250e+00,3.4690128043688373e-01
428,2.00625000e+00,3.4690381371256579e-01
429,2.01093750e+00,3.4690082876903550e-01
430,2.01562500e+00,3.4690348308965341e-01
431,2.02031250e+00,3.4689999770985491e-01
432,2.02500000e+00,3.4690293838454644e-01
433,2.02968750e+00,3.4690110573559585e-01
434,2.03437500e+00,3.4690330148996057e-01
435,2.03906250e+00,3.4690133914589683e-01
436,2.04375000e+00,3.4690322697996429e-01
437,2.04843750e+00,3.4690197648845450e-01
438,2.05312500e+00,3.4690244815390170e-01
439,2.05781250e+00,3.4690234551626936e-01
440,2.06250000e+00,3.4690271757701591e-01
441,2.06718750e+00,3.4690186768218717e-01
442,2.07187500e+00,3.4690212530149689e-01
443,2.07656250e+00,3.4690182324337326e-01
444,2.08125000e+00,3.4690301761705744e-01
445,2.08593750e+00,3.4690149231337047e-01
446,2.09062500e+00,3.4690342760557963e-01
447,2.09531250e+00,3.4690264488941319e-01
448,2.10000000e+00,3.4690300309474348e-01
449,2.10468750e+00,3.4690172521703361e-01
450,2.10937500e+00,3.4690300013488251e-01
451,2.11406250e+00,3.4690185199882434e-01
452,2.11875000e+00,3.4690215719573131e-01
453,2.12343750e+00,3.4690182392976476e-01
454,2.12812500e+00,3.4690166718433357e-01
455,2.13281250e+00,3.4690222108099306e-01
456,2.13750000e+00,3.4690218350999946e-01
457,2.14218750e+00,3.4690120198508723e-01
458,2.14687500e+00,3.4690278466801799e-01
459,2.15156250e+00,3.4690042354580847e-01
460,2.15625000e+00,3.4690282619143437e-01
461,2.16093750e+00,3.4689986076023704e-01
462,2.16562500e+00,3.4690365206555673e-01
463,2.17031250e+00,3.4689945276113288e-01
464,2.17500000e+00,3.4690284516493886e-01
465,2.17968750e+00,3.4690034164664546e-01
466,2.18437500e+00,3.4690291569711268e-01
467,2.18906250e+00,3.4689998390265242e-01
468,2.19375000e+00,3.4690255565108025e-01
469,2.19843750e+00,3.4690056470053754e-01
470,2.20312500e+00,3.4690326400292743e-01
471,2.20781250e+00,3.4690019942527167e-01
472,2.21250000e+00,3.4690426177051409e-01
473,2.21718750e+00,3.4690030088340057e-01
474,2.22187500e+00,3.4690243102714735e-01
475,2.22656250e+00,3.4690013474892961e-01
476,2.23125000e+00,3.4690303127324773e-01
477,2.23593750e+00,3.4690004706521738e-01
478,2.24062500e+00,3.4690300178457550e-01
479,2.24531250e+00,3.4689973104196770e-01
480,2.25000000e+00,3.4690323884984098e-01
481,2.25468750e+00,3.4690041813102873e-01
482,2.25937500e+00,3.4690385070063418e-01
483,2.26406250e+00,3.4690041513911846e-01
484,2.26875000e+00,3.4690374411039382e-01
485,2.27343750e+00,3.4689997895842900e-01
486,2.27812500e+00,3.4690435312737039e-01
487,2.28281250e+00,3.4690055726996827e-01
488,2.28750000e+00,3.4690386956198677e-01
489,2.29218750e+00,3.4690109467026153e-01
490,2.29687500e+00,3.4690378633480629e-01
491,2.30156250e+00,3.4690096832982026e-01
492,2.30625000e+00,3.4690295507436836e-01
493,2.31093750e+00,3.4690158782575964e-01
494,2.31562500e+00,3.4690343517954209e-01
495,2.32031250e+00,3.4690070960459679e-01
496,2.32500000e+00,3.4690374537942154e-01
497,2.32968750e+00,3.4690075999341657e-01
498,2.33437500e+00,3.4690335295718261e-01
499,2.33906250e+00,3.4690193252182011e-01
500,2.34375000e+00,3.4690375482955804e-01
501,2.34843750e+00,3.4690146830557861e-01
502,2.35312500e+00,3.4690440765321695e-01
503,2.35781250e+00,3.4690070114998833e-01
504,2.36250000e+00,3.4690450416422591e-01
505,2.36718750e+00,3.4690063049786918e-01
506,2.37187500e+00,3.4690359489678924e-01
507,2.37656250e+00,3.4690141595899610e-01
508,2.38125000e+00,3.4690331711263217e-01
509,2.38593750e+00,3.4690046235070232e-01
510,2.39062500e+00,3.4690482198391459e-01
511,2.39531250e+00,3.4690117448966779e-01
512,2.40000000e+00,3.4690574942279995e-01
513,2.40468750e+00,3.4690105485401801e-01
514,2.40937500e+00,3.4690606621771386e-01
515,2.41406250e+00,3.4690121280153563e-01
516,2.41875000e+00,3.4690517880014349e-01
517,2.42343750e+00,3.4690144180369920e-01
518,2.42812500e+00,3.4690385280434677e-01
519,2.43281250e+00,3.4690152016639320e-01
520,2.43750000e+00,3.4690533241177102e-01
521,2.44218750e+00,3.4690065664382363e-01
522,2.44687500e+00,3.4690549190102926e-01
523,2.45156250e+00,3.4690055868243447e-01
524,2.45625000e+00,3.4690500256370532e-01
525,2.46093750e+00,3.4690073351572109e-01
526,2.46562500e+00,3.4690438856423067e-01
527,2.47031250e+00,3.4690093415923895e-01
528,2.47500000e+00,3.4690342851396716e-01
529,2.47968750e+00,3.4690041507138042e-01
530,2.48437500e+00,3.4690482354500335e-01
531,2.48906250e+00,3.4690132776348681e-01
532,2.49375000e+00,3.4690215398924684e-01
533,2.49843750e+00,3.4689979916313113e-01
534,2.50312500e+00,3.4690166891737612e-01
535,2.50781250e+00,3.4689905163240381e-01
536,2.51250000e+00,3.4690078285394194e-01
537,2.51718750e+00,3.4689781469749720e-01
538,2.52187500e+00,3.4690091592836986e-01
539,2.52656250e+00,3.4689767395648297e-01
540,2.53125000e+00,3.4690231163046364e-01
541,2.53593750e+00,3.4689801343604509e-01
542,2.54062500e+00,3.4690020987498338e-01
543,2.54531250e+00,3.4689844276230664e-01
544,2.55000000e+00,3.4690091559434177e-01
545,2.55468750e+00,3.4689900419150932e-01
546,2.55937500e+00,3.4690182114058371e-01
547,2.56406250e+00,3.4690020308590802e-01
548,2.56875000e+00,3.4690087571671591e-01
549,2.57343750e+00,3.4689935987152509e-01
550,2.57812500e+00,3.4690155135449591e-01
551,2.58281250e+00,3.4689896083089977e-01
552,2.58750000e+00,3.4689991207947563e-01
553,2.59218750e+00,3.4689809985865488e-01
554,2.59687500e+00,3.4689979970132362e-01
555,2.60156250e+00,3.4689760823217275e-01
556,2.60625000e+00,3.4689908537356251e-01
557,2.61093750e+00,3.4689780807089504e-01
558,2.61562500e+00,3.4689869063419704e-01
559,2.62031250e+00,3.4689841599671822e-01
560,2.62500000e+00,3.4689806465042228e-01
561,2.62968750e+00,3.4689681106500564e-01
562,2.63437500e+00,3.4690000336162669e-01
563,2.63906250e+00,3.4689755635571923e-01
564,2.64375000e+00,3.4690033782719509e-01
565,2.64843750e+00,3.4689671552523793e-01
566,2.65312500e+00,3.4689963545579661e-01
567,2.65781250e+00,3.4689657361948584e-01
568,2.66250000e+00,3.4689920048635803e-01
569,2.66718750e+00,3.4689740913600065e-01
570,2.67187500e+00,3.4689730555392290e-01
571,2.67656250e+00,3.4689789603771759e-01
572,2.68125000e+00,3.4689733213822793e-01
573,2.68593750e+00,3.4689748162360373e-01
574,2.69062500e+00,3.4689664187752639e-01
575,2.69531250e+00,3.4689796948806162e-01
576,2.70000000e+00,3.4689681343575424e-01
577,2.70468750e+00,3.4689548692570193e-01
578,2.70937500e+00,3.4689689501505511e-01
579,2.71406250e+00,3.4689627472438189e-01
580,2.71875000e+00,3.4689808367940578e-01
581,2.72343750e+00,3.4689591971887901e-01
582,2.72812500e+00,3.4689938635296924e-01
583,2.73281250e+00,3.4689569561620570e-01
584,2.73750000e+00,3.4689951547929437e-01
585,2.74218750e+00,3.4689627587797778e-01
586,2.74687500e+00,3.4689910514727590e-01
587,2.75156250e+00,3.4689684905408463e-01
588,2.75625000e+00,3.4689836943958141e-01
589,2.76093750e+00,3.4689770668100361e-01
