step,t,max_u,p_min,p_max
1,2.00000000e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,4.00000000e-04,2.4966219038421979e-02,0.0000000000000000e+00,1.9685446795790840e-01
3,6.00000000e-04,8.9940074777855473e-03,0.0000000000000000e+00,3.2354134478088870e-01
