demo-340-000092-y_displacement_step,demo-340-000091-y_displacement_step,demo-340-000090-y_displacement_step
1.4555523897286093e-08,1.4555523897286093e-08,1.4555523897286093e-08
3.034576134819389e-08,3.812519311363616e-08,3.9749125768651083e-08
0.0024187719033639254,0.002402718310718255,0.002284463929558389
0.008464142984791256,0.008477302995208102,0.008411063374962557
0.019170297103379252,0.01908500727506468,0.017632883498812646
0.03059338135803058,0.02929071727432464,0.026218784244917304
0.04295412360070039,0.042045168363244345,0.042297684669211466
0.061952228803163645,0.06311454422058127,0.0685324706251561
0.09025269931143243,0.09378771986769896,0.1045744235607241
0.12745308685706525,0.1329460930809344,0.1460175219516352
0.17024551168170177,0.17666085067323578,0.1865492085862296
0.214400419398168,0.21929437425313114,0.22145748740687143
0.25416761299485124,0.2559360904606446,0.2496912384349611
0.2871320198909185,0.28553991586755767,0.2726525668010912
0.31278740582454156,0.3085827222012215,0.28957369972985647
0.33161631433473293,0.32525004660473267,0.3032387876855237
0.34597741909386615,0.33742071032409504,0.3143347010130998
0.3565920813651856,0.347015772147958,0.3242361016599443
0.36370000689739934,0.3545430368594803,0.3342063775427563
0.3687899268796503,0.3600032403709458,0.3439616609379602
0.37361239327550677,0.36543752453253264,0.3541170370504513
0.37809105037491786,0.3717509169642451,0.36340579898038883
0.3827302461857921,0.37810051549802426,0.37219793193046125
0.3876614663258483,0.38417981441138427,0.3799126903425646
0.3934562515683694,0.39025579784637954,0.3854974407264954
0.39989236031297704,0.3966082300197772,0.38982022275383377
0.4061974143737489,0.4030459459194883,0.3931319746104044
0.4112302144403285,0.4082489715024805,0.3951164391920662
0.4159753734391286,0.4119418384001988,0.3960043410928452
0.4203587312444269,0.41505457239250554,0.3959898339109521
0.42398617428484575,0.4176386873989354,0.3951623043598037
0.42637301044722975,0.4190935138381807,0.3935537596214925
0.4278995793920385,0.41922024578433026,0.3914719377422583
0.4288580762384592,0.4184126501630304,0.3892146179053019
0.42943062647809327,0.41706177829616575,0.38677827019171473
0.4296866148619537,0.41527263123320746,0.383918678997205
0.4296420902905759,0.41303084013947766,0.3805754773401121
0.42928387822124614,0.4104669667261994,0.37766587291533094
0.42855619357224983,0.40784486858320734,0.375329983486535
0.4273161950019452,0.4052905959720078,0.3722712114562613
0.4253958452856096,0.4031806897241389,0.3689040189936609
0.422791023265637,0.40089436531404965,0.3653838314717318
0.41971106793983626,0.3976870463628547,0.3612837424400329
0.41622130534576385,0.3940449402471379,0.3567792058827465
0.4124383859857802,0.3906947064374212,0.3523403944744551
0.408218091927545,0.387416379692768,0.3479295676342674
0.403650421134535,0.3830607401599925,0.3432451611314381
0.3997889153382653,0.3778863561277269,0.3379543845730181
0.3946414690735812,0.37294539516693914,0.3322820608976008
0.38854496825213614,0.3670802048334566,0.32599486487452956
0.382067223679074,0.36011992319102915,0.3193100923346529
0.3760094080999764,0.3526832100099754,0.31181765412227735
0.36978504487214126,0.345328406187111,0.3039185686008866
0.36251340674992105,0.336988477093746,0.2967721628557024
0.35428767018486684,0.32751001521538814,0.2889192874431056
0.3460174820391705,0.3191127317732759,0.28054692034697337
0.33709314759890907,0.310134958440932,0.27274338524027464
0.3276779109548761,0.300846854005013,0.26513268662933054
0.3185967543021512,0.2922839974709103,0.25700664195393086
0.3088295263568114,0.2831685240953715,0.24889966915624606
0.2989143617298561,0.2734857205736855,0.24107915159856141
0.289093531653689,0.26440682348832956,0.23199910527582002
0.2786047386176632,0.25519990821659244,0.22325141321989672
0.2685494872679367,0.24652672785688046,0.21521421972915233
0.25840260635407775,0.23766291576069898,0.20649040810660935
0.24854456970865269,0.22844630001297428,0.19804485202920563
0.23881656362771098,0.21983242626169897,0.190133331775875
