demo-340-000092-x_displacement_step,demo-340-000091-x_displacement_step,demo-340-000090-x_displacement_step
0.0001485403005787589,0.0001485403005787589,0.0001485403005787589
0.00029867753870838065,0.00029863485154479896,0.00029854998803102717
0.026949074338160406,0.026993840035187455,0.026870992798446514
0.05102208295383304,0.05095035355700861,0.05195553579899426
0.08581741427751921,0.08837918017381008,0.09641557581097104
0.13773840994175868,0.14307191890118953,0.1583149646226809
0.19973733949201944,0.20732491359280236,0.2258030539204967
0.26707526261933556,0.27495455098573474,0.2928232699558986
0.33216768418623066,0.3392233104613076,0.3550707767551524
0.3907922626517688,0.3966884618213691,0.40651489436215305
0.44007588145231735,0.4435859848633832,0.4449712850012315
0.4784804891012311,0.4784686432802008,0.47276381971583503
0.505758131430005,0.5027994216314167,0.4932916610773581
0.5245151158781309,0.5200832999391769,0.5098336261787588
0.5375959291590815,0.5327931619118986,0.5227318604491031
0.5474480501775589,0.5427771428185617,0.5336038128778953
0.5554652518888805,0.5509384453882473,0.5426972771455787
0.5623675017909171,0.5581703512438538,0.5505969598266047
0.5681694253939276,0.5644867811712,0.5577074896622001
0.5729851325641622,0.5694107775984139,0.5637156431078922
0.5774085014688721,0.5737071821605848,0.5689416568012879
0.5813414471010934,0.57783632881911,0.5729426477677924
0.5845608677788012,0.5815778607402275,0.5760692849089895
0.5873236284692565,0.5844621230178191,0.5785656903787608
0.5899132292411149,0.5867653951039122,0.5800857632611687
0.5922674160039689,0.5887954547432435,0.5811138529318136
0.5941062567317983,0.5904219254217826,0.5817954717481972
0.59503429491416,0.591262120289364,0.5820074515319058
0.5954698167418957,0.5913166404659396,0.581848888844416
0.5960324751031549,0.5913660421158793,0.5815249805999005
0.5963965372920879,0.5914890977297247,0.5811169610295976
0.5963885117088419,0.5913264865202283,0.5805698217666124
0.5960649122130823,0.5907804914563937,0.5798442462922357
0.5955581311036735,0.5899860302272326,0.5789401527830724
0.5949513151766637,0.5891648106821383,0.5778481360075773
0.5942441409805548,0.58834916054966,0.5765419081322125
0.593407462922025,0.5874401491050782,0.5750401126401383
0.5924079787449805,0.5863785690313243,0.5736508043118784
0.5912191235521254,0.5851575029883531,0.5723734088131993
0.5898501855208187,0.5838035124361547,0.5706183970473246
0.5883521643730896,0.5823988988468278,0.5686273566676239
0.5867531926997371,0.5808177774890042,0.5666787451578197
0.5850484503425377,0.5787131433370345,0.5645992165360594
0.5832067926915563,0.5763135105461654,0.5622457554072129
0.5811887558815869,0.574034619022213,0.5596997511490513
0.5789765842967627,0.5717238793990782,0.5570348808350614
0.5766754779228374,0.5689521683986529,0.5540546646375597
0.5743429739035195,0.5656987280647938,0.5505860835902128
0.5717069083734792,0.5624493158642581,0.5469110467645175
0.5685265167086928,0.5590535361714359,0.5431221368387524
0.5651366177343864,0.5553502883606412,0.5391678906744823
0.5617423532431485,0.5515692122879463,0.5346924055855384
0.5582483910244795,0.5478372831140994,0.5299371929960743
0.5543757092679933,0.5437204856968554,0.5254375095223096
0.550189896997378,0.5389962922117932,0.5204707113404947
0.5458897673045595,0.534275042244835,0.5148936296749238
0.5412775621126833,0.5291044162646232,0.5094144050825677
0.536235999689912,0.5236118576994284,0.5038461018068501
0.5308830786220085,0.518265902257671,0.4976833581881268
0.5250909870093181,0.5125174371154142,0.49148136198897663
0.5191209777358361,0.5061124121418834,0.4852765750951409
0.5130739422652664,0.4996350048074254,0.4780105158917858
0.5064490408181082,0.492772069737865,0.4707821404701724
0.4996171178169948,0.4859856010379897,0.4638398356419542
0.4925380840037501,0.4789896240596494,0.4561097751724248
0.4852343101378851,0.4713902471624045,0.4484471055717665
0.47778901899298165,0.4639569028834074,0.44094357378564886
0.4700261764080038,0.4562792113662446,0.432902549659971
0.46237125664843526,0.448190988584803,0.4249608428776803
0.45452356648040104,0.440697749311435,0.4173296525405952
0.44622455531373206,0.4330895990134238,0.409146120173175
0.43841928075568526,0.42509246214218943,0.401162959833844
0.4307020606394041,0.4174096133055871,0.3939381169553655
0.42294651379075376,0.4097614135625569,0.3866567949232833
0.41554031488841203,0.4022552315373227,0.37916224146504596
0.4081775130247369,0.3952015594819642,0.3724317310916667
0.40114841221532616,0.38895545207128923,0.36670734338274147
0.39501820658057496,0.38265356419875407,0.3615434902107053
0.38970665041703634,0.37680844319589224,0.35624166746167174
0.3844356355693097,0.3719373821901286,0.35178006244524807
0.37973223771804077,0.36820475628244,0.34795191466325526
0.3761441726278705,0.36570545528812004,0.3447320756789096
0.37369514842460005,0.36376870911668013,0.34231675736627065
0.37233280399457747,0.36261342910403216,0.34114373421134236
0.3721943191142827,0.36278537686502177,0.3412241012175128
0.3732105234608245,0.36409426819745705,0.3424742438012529
0.37532590970453117,0.36634284151024654,0.3450506102976012
0.3784947723460774,0.3697005200315313,0.3491211740284499
0.38276584299754846,0.37446495714093797,0.35427095365839434
0.38806718872313284,0.3803720383791147,0.3607209525451107
0.39456775154128354,0.3871773765700197,0.3685197200230357
0.40222919712786953,0.39533580421354597,0.37757393568409037
0.4111951305197701,0.4047186811013581,0.38709483647969045
0.42065829276183764,0.41497689981901664,0.39761801751366854
0.4310226581875558,0.42553627962060525,0.4091450327110546
0.4425685709170686,0.43722626513065355,0.4204482654518096
0.45441767375788866,0.44937607352609565,0.4322907388230186
0.46652088547358406,0.4613966340062363,0.4450712952077571
0.4787405607127304,0.47359595070429994,0.4575203819212559
0.49059418198144233,0.48566242058733233,0.46980970844350556
0.5022271710624027,0.4973683771042172,0.4818942700648041
0.5135219234400947,0.5087041679277824,0.49350396003035635
0.5239553473898815,0.5191745377394279,0.504564257417454
0.5338027391030986,0.528899162522418,0.5145726920109193
0.5430073031344247,0.5380315763338042,0.5236875377899157
0.5510068581143879,0.5461679570958913,0.5319851445239687
0.5582128344719635,0.5532718675621908,0.5397157182288839
0.5647009009603916,0.5596245960196813,0.5462274530656333
0.5704045187340434,0.5653829864319999,0.5522083016850876
0.5752805492038091,0.5702764625484049,0.5574568522785268
0.5794645939392404,0.5743981385447368,0.5621388898270745
0.5831228972986333,0.5780953588962852,0.5661567846580999
0.586318574057995,0.581284140346418,0.5694369419335137
0.5890811786520331,0.5841008444751978,0.5725023216056428
0.5912533111073432,0.5866300350019997,0.5753420827048836
0.5929769209396223,0.5885601526454518,0.5775097300701655
